customer_id,email,signup_date,gender,gender_clean,region,loyalty_tier,layalty_clean
C00081,xgarcia@hotmail.com,2025-06-17,FEMALE,Female,Central, Gold ,Gold
C00082,ryangross@hotmail.com,2024-10-18,Female,Female,North, Gold ,Gold
C00083,ugraham@hotmail.com,2024-10-18,Female,Female,Central,Silver,Silver
C00084,mariahmiller@yahoo.com,2024-10-08,FEMALE,Female,West,Gold,Gold
C00085,frogers@yahoo.com,2024-09-14,male,Male,South,Gold,Gold
C00086,michaelgreen@yahoo.com,2025-06-12,Male,Male,East,bronze,Bronze
C00087,blackjames@gmail.com,2025-04-11,Female,Female,North,bronze,Bronze
C00088,,2025-01-06,male,Male,West,bronze,Bronze
C00089,fmcguire@yahoo.com,2024-09-30,male,Male,West,Silver,Silver
C00090,kevinperkins@yahoo.com,2025-02-05,Female,Female,East,,
C00091,jbarajas@yahoo.com,2024-11-19,male,Male,West,Silver,Silver
C00092,kristopher31@hotmail.com,2024-09-18,Male,Male,East, Gold ,Gold
C00093,newtonstephanie@hotmail.com,2024-09-15,Male,Male,Central, Gold ,Gold
C00094,joannahill@bray.com,2025-05-25,Female,Female,Central,Silver,Silver
C00095,jeremy24@erickson.com,2024-07-23,male,Male,,Gold,Gold
C00096,heidi27@salas.com,2025-01-04,Other,Other,South,Gold,Gold
C00097,dpeterson@yahoo.com,2025-07-06,Female,Female,East,Silver,Silver
C00098,shortrichard@gmail.com,2025-02-15,Female,Female,East,Gold,Gold
C00099,edwardhart@miller-wright.net,2025-04-28,FEMALE,Female,South,Gold,Gold
C00100,kimberlyjames@yahoo.com,2024-10-29,Male,Male,South,Gold,Gold
C00101,ashley09@hotmail.com,2024-08-13,Male,Male,West,bronze,Bronze
C00102,josephmiller@thompson.com,2024-07-07,Male,Male,East,bronze,Bronze
C00103,enorris@yahoo.com,2024-07-18,Male,Male,Central,Gold,Gold
C00104,jasmine71@hall.org,2025-03-19,FEMALE,Female,West,Silver,Silver
C00105,owilson@hernandez.com,2024-09-08,Male,Male,West, Gold ,Gold
C00106,scott74@hotmail.com,2024-12-09,Female,Female,East, Gold ,Gold
C00107,mkim@gmail.com,2025-06-16,Female,Female,North,Silver,Silver
C00108,cassandra01@gmail.com,2025-03-24,FEMALE,Female,West,bronze,Bronze
C00109,barbara27@pearson.org,2024-12-22,Other,Other,East,bronze,Bronze
C00110,harrisonricky@yahoo.com,2025-03-23,FEMALE,Female,South,Gold,Gold
C00111,marksteele@bates-morales.net,2024-07-20,Other,Other,East,Silver,Silver
C00112,edwardsmarcus@yahoo.com,2025-06-06,male,Male,North,bronze,Bronze
C00113,mgutierrez@cox.com,2024-09-23,Female,Female,North,Gold,Gold
C00114,sarakim@hotmail.com,2025-01-10,male,Male,North,bronze,Bronze
C00115,dudleychelsea@mckinney.net,2024-07-11,Male,Male,South,bronze,Bronze
C00116,walkermaureen@gmail.com,2025-01-01,Female,Female,East,Silver,Silver
C00117,tyronemoran@thornton.info,2024-10-08,FEMALE,Female,North,Silver,Silver
C00118,patrickweeks@hotmail.com,2025-04-21,Male,Male,East,Silver,Silver
C00119,hillkristy@morgan-french.com,2025-05-20,Female,Female,South,Silver,Silver
C00120,jessica99@burns.com,2024-11-12,FEMALE,Female,West,Gold,Gold
C00121,mcantu@hotmail.com,2024-10-06,FEMALE,Female,West,Gold,Gold
C00122,melissajenkins@yahoo.com,2025-04-21,FEMALE,Female,Central,Gold,Gold
C00123,qhughes@hotmail.com,2024-09-03,FEMALE,Female,Central, Gold ,Gold
C00124,martineztammy@yahoo.com,2025-06-08,Female,Female,North,Gold,Gold
C00125,dgarcia@bowen.com,2024-08-04,Female,Female,South,Gold,Gold
C00126,matthew61@yahoo.com,2025-06-02,FEMALE,Female,West,Silver,Silver
C00127,courtney78@gmail.com,2025-03-02,Female,Female,East,Silver,Silver
C00128,crystalmccall@francis.com,2025-04-27,Male,Male,East,Silver,Silver
C00129,tjackson@williams.com,2024-11-22,Female,Female,West,Gold,Gold
C00130,hthomas@yahoo.com,2025-02-10,FEMALE,Female,South,Gold,Gold
C00131,gregorylynch@harvey-allen.org,2024-08-30,male,Male,Central,Gold,Gold
C00132,dlittle@estrada-nolan.info,2025-06-20,FEMALE,Female,South,bronze,Bronze
C00133,charleslandry@hotmail.com,2024-10-30,Female,Female,Central,bronze,Bronze
C00134,stephen43@yahoo.com,2025-06-02,male,Male,South,Gold,Gold
C00135,youngashley@hotmail.com,2024-10-28,Male,Male,East,Silver,Silver
C00136,spencedominique@yahoo.com,2024-07-09,Male,Male,Central, Gold ,Gold
C00137,swall@lawson.com,2025-03-10,Female,Female,North,bronze,Bronze
C00138,erica21@lucas.org,2024-11-24,FEMALE,Female,East,Gold,Gold
C00139,browningmark@thompson-anderson.net,2025-06-11,Other,Other,Central,bronze,Bronze
C00140,maria47@yahoo.com,2025-04-21,FEMALE,Female,South,Silver,Silver
C00141,mcdonaldcharles@gmail.com,2025-06-05,FEMALE,Female,Central,Gold,Gold
C00142,christopher60@yahoo.com,2025-01-30,Other,Other,East,bronze,Bronze
C00143,vrichardson@baker.com,2024-08-17,Other,Other,Central, Gold ,Gold
C00144,jjohnson@herman-walker.com,2025-03-09,FEMALE,Female,East, Gold ,Gold
C00145,debra12@gmail.com,2024-07-20,male,Male,Central,Bronze,Bronze
C00146,pwilson@hotmail.com,2024-08-27,FEMALE,Female,East,Silver,Silver
C00147,vwatson@hotmail.com,2025-01-31,male,Male,East,Gold,Gold
C00148,,2025-03-02,Male,Male,West,Gold,Gold
C00149,antonio53@yahoo.com,2024-12-25,male,Male,East, Gold ,Gold
C00150,cory58@howard.com,2025-05-31,FEMALE,Female,West,bronze,Bronze
C00151,batesdarlene@hotmail.com,2024-07-14,Female,Female,Central, Gold ,Gold
C00152,john29@jones.com,2025-02-18,Other,Other,North,Silver,Silver
C00153,markhernandez@smith.com,2025-01-31,Male,Male,West, Gold ,Gold
C00154,danieldelacruz@gmail.com,2024-07-11,Other,Other,East,bronze,Bronze
C00155,briannasmith@yahoo.com,2024-07-26,Male,Male,South,Gold,Gold
C00156,vfox@alvarez.net,2025-02-21,Female,Female,South,bronze,Bronze
C00157,ngordon@acosta.net,2024-10-31,FEMALE,Female,South,Silver,Silver
C00158,browntimothy@yahoo.com,2024-12-18,Other,Other,East,bronze,Bronze
C00159,cjoseph@lam.org,2024-09-01,male,Male,West,bronze,Bronze
C00160,joshuaschultz@joseph.com,2024-12-29,Other,Other,Central, Gold ,Gold
C00161,mcguiredanny@hotmail.com,2025-03-15,Other,Other,West,Silver,Silver
C00162,ohayes@morgan-chavez.biz,2025-04-15,Female,Female,West,Silver,Silver
C00163,ronald45@mcdaniel.com,2024-08-10,Female,Female,,Silver,Silver
C00164,reynoldsjulie@cain-hawkins.org,2025-02-09,Male,Male,Central, Gold ,Gold
C00165,jenkinsmorgan@yahoo.com,2025-06-08,male,Male,Central, Gold ,Gold
C00166,caroline51@romero.com,2024-11-18,FEMALE,Female,North,Gold,Gold
C00167,farmeraudrey@yahoo.com,2025-05-30,FEMALE,Female,Central, Gold ,Gold
C00168,anthony44@bell-white.com,2025-02-10,Female,Female,South,bronze,Bronze
C00169,thomascynthia@gmail.com,2024-08-10,Female,Female,East, Gold ,Gold
C00170,vbarnes@wood.com,2025-05-03,Male,Male,West, Gold ,Gold
C00171,moorekaren@craig.info,2025-03-20,Male,Male,Central,Silver,Silver
C00172,alawson@yahoo.com,2024-09-27,FEMALE,Female,East,bronze,Bronze
C00173,russell49@rose-parker.com,2024-12-06,FEMALE,Female,West,Gold,Gold
C00174,harrissierra@duran.com,2024-08-21,Other,Other,South,bronze,Bronze
C00175,lburgess@james.com,2025-01-16,male,Male,North,bronze,Bronze
C00176,sandersjudy@yahoo.com,2024-07-13,Other,Other,South,bronze,Bronze
C00177,atkinsbarbara@hotmail.com,2024-12-10,FEMALE,Female,West,Gold,Gold
C00178,darius05@gmail.com,2025-05-13,FEMALE,Female,North,Silver,Silver
C00179,christopher13@yahoo.com,2025-02-19,Female,Female,South,Gold,Gold
C00180,fosterkyle@yahoo.com,2024-09-30,Other,Other,West,Gold,Gold
C00181,charlesschultz@hotmail.com,2025-01-20,Other,Other,South,bronze,Bronze
C00182,michael23@thomas.com,2025-02-24,Other,Other,South,Gold,Gold
C00183,thompsonkendra@marshall-elliott.org,2024-12-27,FEMALE,Female,South, Gold ,Gold
C00184,edward17@yahoo.com,2025-03-08,Female,Female,North,Silver,Silver
C00185,brittany58@gmail.com,2024-11-03,male,Male,East,Silver,Silver
C00186,xjohnson@yahoo.com,2024-08-04,FEMALE,Female,North,Silver,Silver
C00187,jford@huang.com,2024-11-07,Female,Female,Central,Gold,Gold
C00188,susanhayes@yahoo.com,2025-04-09,Female,Female,East,Gold,Gold
C00189,benjaminzimmerman@warren-bishop.com,2024-11-27,male,Male,North,bronze,Bronze
C00190,vortiz@hotmail.com,2025-02-23,Male,Male,Central,Gold,Gold
C00191,cameron18@hughes.org,2025-06-10,Other,Other,East,Silver,Silver
C00192,christopher25@ponce-hale.biz,2024-08-25,Female,Female,West, Gold ,Gold
C00193,angelica52@warner.net,2024-08-11,Female,Female,South,Gold,Gold
C00194,andrew42@gmail.com,2024-11-15,FEMALE,Female,Central, Gold ,Gold
C00195,jeremytaylor@gmail.com,2024-10-28,Female,Female,Central,Silver,Silver
C00196,stanleynancy@anderson.org,2025-05-16,FEMALE,Female,South,Gold,Gold
C00197,xwilliams@ball.info,2024-10-04,Other,Other,West,Gold,Gold
C00198,tammy73@gregory-hudson.info,2025-01-01,male,Male,West, Gold ,Gold
C00199,ashaw@gmail.com,2025-05-19,Female,Female,East, Gold ,Gold
C00200,moniquewilliams@sawyer-spencer.com,2025-04-08,male,Male,East,bronze,Bronze
C00201,christopher24@whitehead-hernandez.biz,2024-08-10,FEMALE,Female,East, Gold ,Gold
C00202,bwilkerson@brown-shaw.com,2024-12-02,Female,Female,Central,bronze,Bronze
C00203,jeffrey51@santos.com,2025-06-27,Female,Female,West,Gold,Gold
C00204,katherineharrison@hotmail.com,2024-07-08,FEMALE,Female,South,Silver,Silver
C00205,scottmary@bentley.com,2024-10-06,Female,Female,East,Silver,Silver
C00206,williamsrobert@hotmail.com,2024-12-30,Other,Other,East,Gold,Gold
C00207,copelandvincent@smith.com,2024-10-27,Female,Female,Central,Gold,Gold
C00208,mendezjohn@yahoo.com,2024-09-16,FEMALE,Female,East,Silver,Silver
C00209,carlos88@hartman.info,2024-07-22,Male,Male,North,Silver,Silver
C00210,jon05@gmail.com,2024-11-16,Female,Female,North,Silver,Silver
C00211,ingramjill@anderson-bell.com,2025-05-17,male,Male,North,Silver,Silver
C00212,epollard@white.info,2024-07-20,male,Male,West, Gold ,Gold
C00213,bradleygonzalez@gmail.com,2024-11-05,FEMALE,Female,South,bronze,Bronze
C00214,ihays@yahoo.com,2024-10-12,Other,Other,East, Gold ,Gold
C00215,justinatkins@glenn.com,2024-08-23,Male,Male,North, Gold ,Gold
C00216,vpreston@yahoo.com,2025-06-18,Male,Male,South,bronze,Bronze
C00217,terri77@yahoo.com,2025-06-29,FEMALE,Female,South,bronze,Bronze
C00218,acostachristian@hotmail.com,2025-05-21,Female,Female,West,bronze,Bronze
C00219,manuel15@phillips.com,2025-03-30,Female,Female,South,Silver,Silver
C00220,sergio59@yahoo.com,2024-10-20,Female,Female,East,Gold,Gold
C00221,lambertrichard@owen.com,2025-05-31,Female,Female,West,Silver,Silver
C00222,martinezjoel@hotmail.com,2024-11-25,Female,Female,East,Silver,Silver
C00223,cherring@hotmail.com,2024-09-03,Female,Female,South,Gold,Gold
C00224,nathan19@gmail.com,2025-01-27,Female,Female,West, Gold ,Gold
C00225,redwards@gmail.com,2024-08-19,Female,Female,South,Gold,Gold
C00226,victorhughes@wilson.com,,Male,Male,East, Gold ,Gold
C00227,igonzalez@gmail.com,2024-12-28,Male,Male,East,bronze,Bronze
C00228,zosborn@ponce.com,2025-02-04,Male,Male,North,Silver,Silver
C00229,melissa25@hotmail.com,2024-10-01,Female,Female,South,bronze,Bronze
C00230,laurayoung@johnson-spencer.com,2025-01-03,Other,Other,South,bronze,Bronze
C00231,jonesraymond@higgins.org,2024-08-03,male,Male,Central,Silver,Silver
C00232,dawn77@holmes.net,2025-03-11,Male,Male,Central,Gold,Gold
C00233,ryanbartlett@guerra.com,2024-11-01,Other,Other,Central,Silver,Silver
C00234,marcusfletcher@meza-stone.com,2025-05-30,Other,Other,Central,Gold,Gold
C00235,james84@weber.net,2024-08-11,Other,Other,South,Silver,Silver
C00236,georgeweber@morgan.com,2024-08-06,Other,Other,North,Gold,Gold
C00237,debra96@fowler.com,2025-03-12,Female,Female,South,bronze,Bronze
C00238,zsanchez@hotmail.com,2024-12-10,male,Male,South,Silver,Silver
C00239,djones@gmail.com,2024-12-23,Female,Female,South,bronze,Bronze
C00240,vmarshall@hotmail.com,2024-08-30,Female,Female,North,Silver,Silver
C00241,jessica56@gmail.com,2025-04-27,Female,Female,West,Gold,Gold
C00242,floressteven@yahoo.com,2024-12-27,Female,Female,West,bronze,Bronze
C00243,colinroberts@lin-barnes.com,2025-05-17,Other,Other,West,Silver,Silver
C00244,james27@hotmail.com,2025-01-03,male,Male,West,bronze,Bronze
C00245,tyler16@hotmail.com,2024-12-30,Male,Male,North,Gold,Gold
C00246,brandywilliams@simpson-khan.info,2024-10-24,male,Male,South,Gold,Gold
C00247,jordannicole@diaz.com,2025-02-12,Female,Female,East,Silver,Silver
C00248,angela16@cole.org,2025-03-27,Female,Female,West,Gold,Gold
C00249,theresalong@grant-diaz.com,2024-09-21,Male,Male,South,Gold,Gold
C00250,williamsderrick@yahoo.com,2025-05-14,Female,Female,West, Gold ,Gold
C00251,ghernandez@gmail.com,2024-11-10,Male,Male,North,Gold,Gold
C00252,phillipjensen@yahoo.com,2025-02-21,,,North,bronze,Bronze
C00253,terickson@yahoo.com,2025-05-18,male,Male,East, Gold ,Gold
C00254,mark16@parker.com,2025-02-22,Female,Female,South,bronze,Bronze
C00255,tammy99@gmail.com,2025-04-12,Female,Female,North, Gold ,Gold
C00256,ojackson@harvey.com,2024-07-18,FEMALE,Female,East, Gold ,Gold
C00257,andrewedwards@gutierrez.biz,2025-01-16,FEMALE,Female,South, Gold ,Gold
C00258,thorntonapril@hotmail.com,2024-11-09,Female,Female,East,bronze,Bronze
C00259,ledwards@yahoo.com,2025-06-25,Female,Female,West,Gold,Gold
C00260,erica49@yahoo.com,2024-09-18,Other,Other,East,Silver,Silver
C00261,angela34@bush-vaughn.info,2024-11-06,Female,Female,Central, Gold ,Gold
C00262,ann44@gmail.com,2025-02-13,FEMALE,Female,South, Gold ,Gold
C00263,xcardenas@gmail.com,2024-10-26,male,Male,Central,Gold,Gold
C00264,stephanie15@douglas-burgess.com,2024-09-22,Female,Female,Central,bronze,Bronze
C00265,derrick99@gmail.com,2024-10-08,male,Male,West, Gold ,Gold
C00266,danawilliams@rivera-kennedy.com,2024-07-08,Male,Male,South,Silver,Silver
C00267,edelgado@santos-avila.com,2024-11-07,male,Male,West,bronze,Bronze
C00268,velezchristopher@hotmail.com,2024-10-04,male,Male,East,Silver,Silver
C00269,robertmonroe@osborn.info,2024-09-16,Male,Male,Central, Gold ,Gold
C00270,smithashley@gmail.com,2025-07-01,Male,Male,North,Silver,Silver
C00271,shawn88@yahoo.com,2025-06-16,Female,Female,West,Silver,Silver
C00272,znelson@rivera.info,2025-03-14,Female,Female,South,Silver,Silver
C00273,alexisrogers@yahoo.com,2025-02-11,male,Male,Central,Gold,Gold
C00274,cherylfowler@wilcox-robertson.com,2024-12-08,Female,Female,South,Gold,Gold
C00275,tinawoods@smith.com,2024-12-26,Other,Other,West,Gold,Gold
C00276,kevin90@yahoo.com,2025-03-16,FEMALE,Female,West, Gold ,Gold
C00277,bryanwilson@yahoo.com,2024-09-06,Female,Female,South, Gold ,Gold
C00278,hannah45@hotmail.com,2024-09-29,FEMALE,Female,Central,bronze,Bronze
C00279,timothygibson@brooks.net,2025-05-13,Other,Other,West, Gold ,Gold
C00280,erinlarson@fox.com,2024-08-05,male,Male,Central, Gold ,Gold
C00281,poolerebecca@armstrong.com,2024-11-10,Other,Other,East,bronze,Bronze
C00282,frazierjennifer@yahoo.com,2024-08-10,male,Male,West,bronze,Bronze
C00283,chavezwilliam@yahoo.com,2025-02-10,FEMALE,Female,East,Gold,Gold
C00284,tchambers@johnson.com,2025-02-15,Male,Male,East,Gold,Gold
C00285,hendersonisabella@mcknight.info,2024-07-18,Male,Male,Central,bronze,Bronze
C00286,iwhite@hotmail.com,2025-04-15,Female,Female,South,bronze,Bronze
C00287,victoria67@yahoo.com,2024-11-28,Female,Female,South, Gold ,Gold
C00288,desireebailey@haney.net,2024-08-24,Other,Other,North,bronze,Bronze
C00289,avilatiffany@nunez-stephens.net,2024-11-30,Female,Female,West,Gold,Gold
C00290,stevenmoore@pineda.com,2024-07-18,Male,Male,South,Gold,Gold
C00291,allencarlos@hotmail.com,2024-07-19,Other,Other,East, Gold ,Gold
C00292,sanchezbradley@yahoo.com,2024-10-05,FEMALE,Female,Central, Gold ,Gold
C00293,taylorvictoria@cabrera.org,2024-11-06,Female,Female,South,Silver,Silver
C00294,kevinthomas@hotmail.com,2025-01-24,male,Male,West,Gold,Gold
C00295,dturner@fry.biz,2025-02-06,Other,Other,North,bronze,Bronze
C00296,comptonshelly@hotmail.com,2024-12-01,male,Male,East, Gold ,Gold
C00297,trussell@yahoo.com,2024-09-15,Other,Other,South,Silver,Silver
C00298,melissaturner@hotmail.com,2024-08-31,FEMALE,Female,East,bronze,Bronze
C00299,harttammy@hotmail.com,2025-01-27,,,Central,Silver,Silver
C00300,nsanchez@lucas-nielsen.com,2024-08-10,Female,Female,East,bronze,Bronze
C00301,adamsemily@williams.org,2025-04-13,FEMALE,Female,Central,Gold,Gold
C00302,vclark@krueger-smith.com,2025-04-19,Male,Male,South,Silver,Silver
C00303,srocha@padilla.com,2025-05-03,Other,Other,Central,bronze,Bronze
C00304,,2024-11-02,Male,Male,East,Gold,Gold
C00305,william77@gmail.com,2025-05-13,Male,Male,Central,Silver,Silver
C00306,robin55@yahoo.com,2024-07-23,Female,Female,Central, Gold ,Gold
C00307,allentran@riley.com,2024-10-03,Male,Male,South,bronze,Bronze
C00308,victorpena@hotmail.com,2024-11-14,Other,Other,East,bronze,Bronze
C00309,plevy@hotmail.com,2025-01-12,Other,Other,South,bronze,Bronze
C00310,jessicabell@gmail.com,2025-04-11,FEMALE,Female,West,Gold,Gold
C00311,sabrinaweaver@hotmail.com,2024-07-28,Male,Male,North,Gold,Gold
C00312,landryelizabeth@gutierrez.com,2024-08-01,Other,Other,North, Gold ,Gold
C00313,robinsonstephen@williamson.org,2025-06-25,Male,Male,East,bronze,Bronze
C00314,ismith@hotmail.com,2024-12-12,Female,Female,South,Gold,Gold
C00315,morenojoshua@smith-li.biz,2025-05-15,Other,Other,South, Gold ,Gold
C00316,hullalice@lee.com,2025-05-18,FEMALE,Female,South,Gold,Gold
C00317,laura15@yahoo.com,2024-12-31,Female,Female,South,Gold,Gold
C00318,kevinclayton@valdez.com,2024-08-11,Female,Female,West,Gold,Gold
C00319,ebennett@gmail.com,2025-03-10,Male,Male,West, Gold ,Gold
C00320,christopherbruce@mueller.com,2025-06-18,Female,Female,Central,bronze,Bronze
C00321,jasonparrish@alvarez.com,2025-06-20,Male,Male,West,Silver,Silver
C00322,sarahedwards@matthews.biz,2025-07-01,Male,Male,South,Gold,Gold
C00323,francisco39@rhodes-fernandez.biz,2025-04-25,Other,Other,South,bronze,Bronze
C00324,masonterri@davis.com,2024-11-15,Female,Female,Central, Gold ,Gold
C00325,anthony47@yahoo.com,2024-10-02,Male,Male,West,bronze,Bronze
C00326,rreynolds@hotmail.com,2025-03-19,Female,Female,East,Gold,Gold
C00327,bartonkenneth@gmail.com,2025-04-08,male,Male,East,bronze,Bronze
C00328,adamsnorman@moore.com,2024-07-08,Female,Female,Central, Gold ,Gold
C00329,rward@gmail.com,2024-08-26,Female,Female,South,Gold,Gold
C00330,ryanhawkins@russell.com,2025-02-22,Other,Other,West,bronze,Bronze
C00331,asmith@yahoo.com,2025-05-04,Female,Female,West,Gold,Gold
C00332,ashleyjackson@jackson-adams.com,2025-01-13,male,Male,East,Silver,Silver
C00333,jacksonjoshua@washington-jones.com,2024-10-09,Female,Female,South,bronze,Bronze
C00334,stephentaylor@gmail.com,2024-12-06,Female,Female,South,Gold,Gold
C00335,vbrock@yahoo.com,2024-11-12,Male,Male,South, Gold ,Gold
C00336,kevinmorrison@hotmail.com,2024-09-22,FEMALE,Female,East,Silver,Silver
C00337,gregory65@yahoo.com,2025-04-17,male,Male,Central,Gold,Gold
C00338,markramirez@yahoo.com,2024-11-24,male,Male,South, Gold ,Gold
C00339,brittanygardner@saunders.com,2024-12-23,FEMALE,Female,North, Gold ,Gold
C00340,,2025-03-24,male,Male,Central,bronze,Bronze
C00341,cynthiaallen@hotmail.com,2024-09-03,Female,Female,Central,Silver,Silver
C00342,mjones@yahoo.com,2025-02-17,Other,Other,East,,
C00343,ystephens@yahoo.com,2025-04-04,Other,Other,East,Silver,Silver
C00344,mackdiane@jackson-salazar.org,2025-03-13,FEMALE,Female,West,Gold,Gold
